timestamp,user,action,file_path,ip_address,is_honeyfil,process_name,pid,operation,result,detail
2025-11-25T14:05:23,john.smith,open,C:\Users\john.smith\Documents\Project_Report.docx,192.168.1.105,false,WINWORD.EXE,3421,CreateFile,SUCCESS,"Desired Access: Read Data, Write Data, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
2025-11-25T14:05:24,john.smith,read,C:\Users\john.smith\Documents\Project_Report.docx,192.168.1.105,false,WINWORD.EXE,3421,ReadFile,SUCCESS,"Offset: 0, Length: 8192, I/O Flags: Non-cached, Priority: Normal"
2025-11-25T14:12:18,john.smith,write,C:\Users\john.smith\Documents\Project_Report.docx,192.168.1.105,false,WINWORD.EXE,3421,WriteFile,SUCCESS,"Offset: 4096, Length: 2048, I/O Flags: Write Through, Priority: Normal"
2025-11-25T14:35:45,sarah.johnson,open,C:\Users\sarah.johnson\Desktop\Budget_2025.xlsx,192.168.1.112,false,EXCEL.EXE,4512,CreateFile,SUCCESS,"Desired Access: Read Data, Write Data, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
2025-11-25T14:35:46,sarah.johnson,read,C:\Users\sarah.johnson\Desktop\Budget_2025.xlsx,192.168.1.112,false,EXCEL.EXE,4512,ReadFile,SUCCESS,"Offset: 0, Length: 16384, I/O Flags: Non-cached, Priority: Normal"
2025-11-25T14:42:33,sarah.johnson,write,C:\Users\sarah.johnson\Desktop\Budget_2025.xlsx,192.168.1.112,false,EXCEL.EXE,4512,WriteFile,SUCCESS,"Offset: 8192, Length: 4096, I/O Flags: Write Through, Priority: Normal"
2025-11-25T15:08:12,mike.davis,list,C:\Users\mike.davis\Documents,192.168.1.118,false,Explorer.EXE,2847,QueryDirectory,SUCCESS,"FileInformationClass: FileIdBothDirectoryInformation, 1: ., 2: .., 3: Meeting_Notes.txt, 4: Client_Proposal.pdf"
2025-11-25T15:08:15,mike.davis,open,C:\Users\mike.davis\Documents\Meeting_Notes.txt,192.168.1.118,false,notepad.exe,5621,CreateFile,SUCCESS,"Desired Access: Read Data, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
2025-11-25T15:08:16,mike.davis,read,C:\Users\mike.davis\Documents\Meeting_Notes.txt,192.168.1.118,false,notepad.exe,5621,ReadFile,SUCCESS,"Offset: 0, Length: 2048, I/O Flags: Non-cached, Priority: Normal"
2025-11-25T15:22:41,emily.chen,open,C:\Users\emily.chen\Desktop\Presentation.pptx,192.168.1.125,false,POWERPNT.EXE,6234,CreateFile,SUCCESS,"Desired Access: Read Data, Write Data, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
2025-11-25T15:22:42,emily.chen,read,C:\Users\emily.chen\Desktop\Presentation.pptx,192.168.1.125,false,POWERPNT.EXE,6234,ReadFile,SUCCESS,"Offset: 0, Length: 32768, I/O Flags: Non-cached, Priority: Normal"
2025-11-25T15:45:18,john.smith,open,C:\Users\john.smith\Documents\Team_Schedule.xlsx,192.168.1.105,false,EXCEL.EXE,7123,CreateFile,SUCCESS,"Desired Access: Read Data, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
2025-11-25T15:45:19,john.smith,read,C:\Users\john.smith\Documents\Team_Schedule.xlsx,192.168.1.105,false,EXCEL.EXE,7123,ReadFile,SUCCESS,"Offset: 0, Length: 8192, I/O Flags: Non-cached, Priority: Normal"
2025-11-25T16:03:27,sarah.johnson,list,C:\Users\sarah.johnson\Downloads,192.168.1.112,false,Explorer.EXE,2847,QueryDirectory,SUCCESS,"FileInformationClass: FileIdBothDirectoryInformation, 1: ., 2: .., 3: invoice_template.docx, 4: company_logo.png"
2025-11-25T16:03:30,sarah.johnson,open,C:\Users\sarah.johnson\Downloads\invoice_template.docx,192.168.1.112,false,WINWORD.EXE,8421,CreateFile,SUCCESS,"Desired Access: Read Data, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
2025-11-25T16:03:31,sarah.johnson,read,C:\Users\sarah.johnson\Downloads\invoice_template.docx,192.168.1.112,false,WINWORD.EXE,8421,ReadFile,SUCCESS,"Offset: 0, Length: 4096, I/O Flags: Non-cached, Priority: Normal"
2025-11-25T16:18:54,mike.davis,open,C:\Users\mike.davis\Documents\Client_Proposal.pdf,192.168.1.118,false,AcroRd32.exe,9234,CreateFile,SUCCESS,"Desired Access: Read Data, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
2025-11-25T16:18:55,mike.davis,read,C:\Users\mike.davis\Documents\Client_Proposal.pdf,192.168.1.118,false,AcroRd32.exe,9234,ReadFile,SUCCESS,"Offset: 0, Length: 16384, I/O Flags: Non-cached, Priority: Normal"
2025-11-25T16:32:12,emily.chen,write,C:\Users\emily.chen\Desktop\Presentation.pptx,192.168.1.125,false,POWERPNT.EXE,6234,WriteFile,SUCCESS,"Offset: 16384, Length: 8192, I/O Flags: Write Through, Priority: Normal"
